"IndivYr","AnimalID","SprAvgNSD","FallAvgNSD","SprTotalNSD","FallTotalNSD"
"141290-14",141290,41.3306432831968,NA,2562.4998835582,0
"141300-14",141300,160.741465493379,NA,9965.9708605895,0
"141340-14",141340,120.118323481278,70.6516877849656,7447.33605583926,5228.22489608745
"141380-14",141380,147.510179071315,NA,9145.63110242152,0
"141400-14",141400,263.438866286343,NA,16333.2097097532,0
"141420-14",141420,NA,NA,0,0
"141470-14",141470,124.984341646966,106.085567058673,7749.0291821119,7850.33196234181
"141490-14",141490,166.158532995927,29.7594067238154,10301.8290457475,2202.19609756234
"141500-14",141500,146.667044929763,NA,9093.35678564528,0
"141520-14",141520,75.9865325374853,37.2739422005292,4711.16501732409,2758.27172283916
"141560-14",141560,147.12229992396,20.438771789897,9121.58259528554,1512.46911245238
"141570-14",141570,257.086197761443,NA,15939.3442612095,0
"141580-14",141580,166.966377552,NA,10351.915408224,0
"141610-14",141610,73.422343078608,74.9100761226113,4552.18527087369,5543.34563307323
"141630-14",141630,9.64848711955739,NA,598.206201412558,0
"150360-14",150360,NA,NA,0,0
"150920-14",150920,NA,NA,0,0
"151110-14",151110,NA,NA,0,0
"151170-14",151170,NA,NA,0,0
"151200-14",151200,NA,NA,0,0
"151220-14",151220,NA,NA,0,0
"151300-14",151300,NA,NA,0,0
"151380-14",151380,NA,NA,0,0
"151500-14",151500,NA,NA,0,0
"151570-14",151570,NA,NA,0,0
"151580-14",151580,NA,NA,0,0
"140040-15",140040,221.089810185649,120.289105415924,13707.5682315102,5533.29884913251
"140050-15",140050,25.4087905181164,23.6265162659729,1575.34501212322,1086.81974823475
"140060-15",140060,61.7873515947196,46.9355014451669,3830.81579887261,2159.03306647768
"140070-15",140070,12.0534888729862,7.53223526542203,747.316310125142,346.482822209413
"140100-15",140100,71.2533166411694,NA,4417.7056317525,0
"140120-15",140120,NA,NA,0,0
"140290-15",140290,11.87492850042,66.1905498763694,736.245567026039,3044.76529431299
"140300-15",140300,157.660399777604,49.7268474465171,9774.94478621142,2287.43498253979
"140320-15",140320,155.608863502234,41.6186053346356,9647.74953713851,1914.45584539324
"140340-15",140340,75.5036207096416,86.3319265666729,4681.22448399778,3971.26862206695
"140360-15",140360,NA,NA,0,0
"140380-15",140380,8.1626175121457,11.3738853921445,506.082285753033,523.198728038647
"140400-15",140400,63.1540967959068,50.7065354443268,3915.55400134622,2332.50063043903
"140480-15",140480,31.3582754615102,63.9593850421595,1944.21307861363,2942.13171193934
"140560-15",140560,138.80075083438,29.7658646936926,8605.64655173153,1369.22977590986
"140600-15",140600,58.6176174002901,27.561227915082,3634.29227881798,1267.81648409377
"140630-15",140630,25.2961996507214,32.2570825025886,1568.36437834473,1483.82579511908
"140650-15",140650,43.9007407692235,123.986120979927,2721.84592769186,5703.36156507664
"140680-15",140680,140.51999258655,73.7094965916654,8712.23954036608,3390.63684321661
"140710-15",140710,48.9809767383885,50.7765453156999,3036.82055778009,2335.7210845222
"140800-15",140800,158.375706362246,3.73005486910622,9819.29379445926,171.582523978886
"140850-15",140850,124.316132942417,80.1971004724415,7707.60024242987,3689.06662173231
"140890-15",140890,35.1149058051257,61.4182067388931,2177.12415991779,2825.23750998908
"140900-15",140900,NA,NA,0,0
"140910-15",140910,99.8528777440652,92.9496805793357,6190.87842013204,4275.68530664944
"140920-15",140920,NA,NA,0,0
"140930-15",140930,NA,NA,0,0
"140940-15",140940,50.9501437347218,60.0456330260041,3158.90891155275,2762.09911919619
"140960-15",140960,47.8060123251647,67.3818807484947,2963.97276416021,3099.56651443076
"140980-15",140980,102.122609235114,68.1523654575733,6331.60177257708,3135.00881104837
"141000-15",141000,138.054072798223,NA,8559.35251348982,0
"141010-15",141010,202.909398853823,101.735155909578,12580.382728937,4679.81717184058
"141060-15",141060,61.0537136401031,42.7582570277237,3785.3302456864,1966.87982327529
"141070-15",141070,34.4037590555395,24.0533449091414,2133.03306144345,1106.45386582051
"141080-15",141080,42.6973604293241,55.4094682652807,2647.2363466181,2548.83554020291
"141090-15",141090,NA,NA,0,0
"141100-15",141100,53.305448020698,86.348083157354,3304.93777728328,3972.01182523829
"141110-15",141110,NA,NA,0,0
"141120-15",141120,209.274144647191,138.538318238262,12974.9969681259,6372.76263896004
"141130-15",141130,97.8635345270894,59.8211977608482,6067.53914067954,2751.77509699902
"141150-15",141150,257.021390608143,165.894179241661,15935.3262177049,7631.13224511639
"141160-15",141160,176.513256318929,NA,8119.60979067075,0
"141170-15",141170,NA,NA,0,0
"141180-15",141180,268.698353081193,NA,16659.297891034,0
"141200-15",141200,NA,NA,0,0
"141210-15",141210,NA,NA,0,0
"141220-15",141220,NA,NA,0,0
"141260-15",141260,74.1338322128411,148.832004283319,4596.29759719615,6846.27219703269
"141290-15",141290,NA,NA,0,0
"141300-15",141300,NA,NA,0,0
"141340-15",141340,48.476574445284,NA,3005.54761560761,0
"141380-15",141380,NA,NA,0,0
"141400-15",141400,NA,NA,0,0
"141420-15",141420,NA,NA,0,0
"141470-15",141470,55.3941735348578,NA,3434.43875916118,0
