"AnimalID","Date","Julian_date","J_day_new_spr","X_UTM","Y_UTM","NSD"
140380,2014-07-23,204,148,264039.709113966,5176240.28533063,6.66224376944312
140380,2014-07-24,205,149,263817.974107111,5176442.62055857,5.23327465832727
140380,2014-07-25,206,150,262935.569854032,5176781.14908967,2.55290232717087
140380,2014-07-26,207,151,263365.125821383,5176996.80647822,2.48118579713815
140380,2014-07-27,208,152,262725.102938595,5175328.30585468,9.00887310260005
140380,2014-07-28,209,153,264078.692916889,5175282.85112558,11.6862934019739
140380,2014-07-29,210,154,260218.236853471,5174874.62857588,17.1583218978601
140380,2014-07-30,211,155,259565.412297868,5174636.93471737,22.2777303240271
140380,2014-07-31,212,156,260607.996339475,5175238.58998381,13.1432714689124
140380,2014-08-01,213,157,262889.443885514,5176776.29110708,2.53115548360491
140380,2014-08-02,214,158,263724.366452559,5176593.19017142,4.45455637748772
140380,2014-08-03,215,159,263452.223074795,5177070.1634633,2.44790208790733
140380,2014-08-04,216,160,262965.045342282,5177334.17581404,1.17978254241276
140380,2014-08-05,217,161,262411.904152385,5174960.08057457,11.3154222838368
140380,2014-08-06,218,162,263769.979959045,5175416.26446885,10.0224124693478
140380,2014-08-07,219,163,263540.806418856,5177959.16191889,1.18584334294
140380,2014-08-08,220,164,264381.548436397,5179293.78899353,4.43066498958072
140380,2014-08-09,221,165,263572.104780539,5179531.46471979,2.58109008591857
140380,2014-08-10,222,166,263062.573820654,5179611.63444722,1.96293199912499
140380,2014-08-11,223,167,262615.849518579,5179925.28790222,2.57969414715581
140380,2014-08-12,224,168,262443.774696742,5176541.27082734,3.17725676273385
140380,2014-08-13,225,169,261408.174416279,5174175.18964513,18.4223519488259
140380,2014-08-14,226,170,261314.612409886,5173554.594621,24.17064051265
140380,2014-08-15,227,171,263045.484160036,5174908.3824515,11.9375446703044
140380,2014-08-16,228,172,261724.369598585,5173843.27512046,20.6860761543936
140380,2014-08-17,229,173,263313.524207675,5175492.07624102,8.64945983906043
140380,2014-08-18,230,174,263040.679919512,5176922.78577939,2.2360069188349
140380,2014-08-19,231,175,263749.318277216,5177422.37210034,2.3355120062338
140380,2014-08-20,232,176,262019.456868375,5177426.06750815,1.04811760593839
140380,2014-08-21,233,177,264375.029647829,5176981.62063234,5.26029392164585
140380,2014-08-22,234,178,262475.842478845,5177352.37390536,0.942354343054525
140380,2014-08-23,235,179,262423.653810099,5176613.28731329,2.92914558295784
140380,2014-08-24,236,180,263478.149596979,5176756.4404115,3.38132507756352
140380,2014-08-25,237,181,262120.545339038,5177659.1014065,0.594880685503433
140380,2014-08-26,238,182,264457.691643036,5176746.91716372,6.25920774325432
140380,2014-08-27,239,183,262294.901392318,5177035.69046914,1.70362268041939
